"endTime","artistName","trackName","minutesPlayed"
2021-08-01 21:18:00,"Quinn XCII","COFFEE (FEAT. MARC E. BASSY)",3
2021-08-01 21:21:00,"Julia Michaels","WHAT A TIME (FEAT. NIALL HORAN)",2.89
2021-08-01 21:23:00,"Pink Sweat$","17",2.68
2021-08-01 21:26:00,"Doja Cat","AIN'T SHIT",2.9
2021-08-01 21:29:00,"Joji","DAYLIGHT",2.73
2021-08-01 21:32:00,"Ruel","PAINKILLER",3.56
2021-08-01 21:35:00,"AJ Mitchell","SLOW DANCE (FEAT. AVA MAX)",2.98
2021-08-01 21:38:00,"Maroon 5","LOST",2.88
2021-08-01 21:41:00,"Chloe George","GHOST TOWN (VOICE MEMO)",2.29
2021-08-01 21:44:00,"Olivia Rodrigo","TRAITOR",3.82
2021-08-01 21:47:00,"benny blanco","UNLEARN (WITH GRACIE ABRAMS)",2.59
2021-08-01 21:50:00,"Lukas Graham","SHARE THAT LOVE (FEAT. G-EAZY)",2.87
2021-08-01 21:53:00,"Lauv","FEELINGS",3.17
2021-08-01 21:56:00,"Sam Fischer","WHAT OTHER PEOPLE SAY",3.25
2021-08-01 22:00:00,"Maroon 5","NOBODY'S LOVE",3.52
2021-08-01 22:03:00,"SHAED","TRAMPOLINE (WITH ZAYN)",3.07
2021-08-01 22:07:00,"Jaymes Young","HAPPIEST YEAR",3.81
2021-08-01 22:10:00,"Sam Smith","MY OASIS (FEAT. BURNA BOY)",3
2021-08-01 22:13:00,"Ellie Goulding","SLOW GRENADE",3.62
2021-08-01 22:17:00,"Lauv","TATTOOS TOGETHER",3.11
2021-08-01 22:19:00,"Kelsea Ballerini","I QUIT DRINKING",2.85
2021-08-01 22:23:00,"keshi","RIGHT HERE",3.25
2021-08-01 22:25:00,"salem ilese","MAD AT DISNEY",2.28
2021-08-01 22:28:00,"Jeremy Zucker","THIS IS HOW YOU FALL IN LOVE",2.91
2021-08-01 22:32:00,"Taylor Swift","WILLOW",3.58
2021-08-01 22:35:00,"LANY","COWBOY IN LA",3.56
2021-08-01 22:38:00,"SHY Martin","STILL THE SAME (FEAT. BOY IN SPACE)",2.97
2021-08-01 22:41:00,"Dan + Shay","I SHOULD PROBABLY GO TO BED",2.86
2021-08-01 22:44:00,"Clinton Kane","I DON'T WANT TO WATCH THE WORLD END WITH SOMEONE ELSE",3.08
2021-08-01 22:47:00,"Why Don't We","WHAT AM I",3.08
